mmsi,max_jump_km
211440750,313.8
211440890,7.2
211441600,65.3
211443020,54.8
211443540,122.7
211444550,170.8
211445510,28.9
211448410,2.1
211449950,36.1
211450910,42.2
211452170,103.5
211453570,2.5
211454980,15.6
211456120,79.9
211460270,48.4
211462760,28.4
211466550,6.8
211470070,14.3
211470940,32.3
211473960,126.2
211474000,259.0
211474440,3.7
211474990,4.1
211476520,5.6
211477060,4.0
211478980,11.2
211479380,16.6
211480150,108.5
211482680,14.9
211483570,46.2
211485200,72.6
211486840,23.1
211487630,12.6
211488440,25.3
211488470,9.8
211488750,25.0
211489260,66.0
211489880,81.0
211491360,11.7
211493010,8.8
211495300,9.8
211497670,29.7
211501960,13.6
211503920,5.8
211507820,38.1
211511350,19.3
211512330,5.1
211514540,2.6
211518530,60.1
211518860,35.2
211520510,73.9
211525170,4.0
211526140,2.9
211528400,14.8
211529680,4.2
211530460,20.6
211531830,10.1
211532480,76.5
211533370,2.6
211533730,4.0
211534760,3.0
211535070,8.5
211535130,6.4
211535660,27.0
211536260,17.3
211536710,117.3
211537340,4.3
211537740,3.8
211538400,80.6
211540990,16.7
211541180,27.4
211541630,72.8
211542610,178.1
211543450,29.5
211543850,806.4
211546740,10.4
211546840,2.1
211547270,154.6
211547760,12.1
211549600,3.0
211549650,2.5
211553620,13.2
211553630,452.3
211554430,13.5
211554880,21.3
211555050,202.6
211559850,109.4
211561990,65.9
211563610,2.2
211564220,5.9
211564540,23.0
211565880,14.5
211568630,16.8
211569790,116.0
211571810,38.1
211572780,2.2
211572830,3.8
211573010,39.7
211573600,289.1
211575150,2.3
211576300,19.5
211577000,240.6
211579700,73.8
211580980,34.3
211582060,24.5
211584600,17.5
211588460,7.2
211588960,69.9
211588970,88.6
211591600,106.6
211592590,59.1
211593250,73.4
211594690,71.7
211599770,38.9
211600240,260.4
211603630,47.7
211604010,3.8
211604690,6.5
211608450,49.2
211609210,63.1
211611030,2.1
211612170,7.1
211613440,13.5
211615850,4.0
211617730,19.0
211618210,11.1
211620130,32.0
211624100,47.8
211624380,8.3
211624720,72.9
211624750,909.1
211624900,457.7
211625170,25.9
211627830,69.0
211629880,53.6
211629930,248.7
211633830,41.3
211633930,43.3
211634300,25.1
211634520,63.4
211635380,18.0
211635560,2.9
211636950,26.7
211637400,37.4
211637520,79.0
211637680,6.0
211638690,31.3
211639430,62.2
211640710,7.9
211641040,73.8
211641080,15.6
211643670,49.3
211644720,2.1
211645420,24.4
211645630,26.0
211645810,66.5
211646120,50.8
211648140,55.9
211648300,39.4
211649020,51.0
211649310,6.2
211650310,24.9
211652230,10.0
211657230,23.1
211657830,44.6
211658450,24.1
211662260,16.8
211663830,7.2
211665450,3.1
211668240,26.4
211669410,7.6
211671060,11.9
211671320,14.4
211671780,82.4
211672330,14.6
211672730,6.8
211673700,176.8
211673890,89.3
211674300,79.8
211674410,83.9
211676110,49.0
211677590,11.8
211677920,27.8
211678450,44.5
211679510,40.3
211680210,70.6
211680880,27.3
211681430,56.8
211681800,17.1
211685400,10.9
211686000,403.1
211686900,10.0
211688640,11.7
211689110,73.2
211689830,168.2
211690970,165.5
211692270,20.0
211694680,21.2
211695200,6.9
211695510,11.6
211695580,50.6
211696190,5.1
211698650,37.4
211699430,59.3
211701640,14.5
211705460,2.2
211707570,99.8
211708320,23.4
211708930,13.5
211709290,4.3
211710780,236.1
211711570,40.7
211711850,9.2
211712040,17.9
211713370,61.8
211713970,31.8
211714110,22.0
211715330,11.5
211716130,50.8
211716660,13.0
211716900,2.2
211721080,107.8
211721220,31.2
211721590,20.8
211721750,37.4
211722380,7.4
211724170,20.1
211725030,13.2
211725460,41.3
211727080,45.4
211728250,6.2
211728970,46.6
211729130,2.2
211730470,7.2
211730630,12.5
211731290,67.7
211731410,117.9
211731480,6.1
211731510,31.9
211733520,66.9
211733580,52.6
211733980,300.6
211735730,35.6
211739210,6.3
211739600,12.3
211740760,17.8
211742600,29.8
211742930,136.3
211745250,34.8
211745740,322.4
211747200,31.0
211747410,44.5
211750380,5.2
211750780,6.6
211751580,12.1
211755260,3.6
211756190,15.4
211757040,2.1
211757540,178.1
211760350,82.0
211761290,120.2
211762090,2.6
211762800,29.8
211763070,329.1
211763370,47.3
211765970,22.3
211766310,63.7
211771340,4.3
211772470,902.4
211772710,6.9
211773640,3.7
211774530,46.3
211774950,58.7
211776230,29.2
211776730,3.7
211776870,45.5
211776970,12.4
211776990,3.1
211781550,3.6
211782970,8.0
211784720,2.6
211785340,4.2
211786080,53.1
211787810,52.6
211788510,20.7
211790630,12.1
211793100,16.6
211793650,13.6
211796220,19.5
211797830,5.4
211800420,19.7
211800600,9.1
211802510,5.9
211804500,4.3
211805830,20.8
211806440,2.9
211808050,3.5
211809690,5.0
211810520,8.2
211812820,9.5
211815680,7.2
211816070,412.1
211816560,17.8
211818840,83.3
211819590,45.1
211822000,3.7
211822860,33.1
211828320,5.7
211828840,83.4
211829930,6.5
211831700,29.0
211833390,65.0
211835880,32.0
211836940,2.4
211839050,45.8
211839600,4.2
211841470,2.7
211845000,352.3
211846360,29.6
211847210,42.0
211847700,48.8
211848130,15.2
211854980,66.3
211856360,87.7
211856500,23.9
211856550,104.9
211858050,4.4
211860320,3.4
211865600,289.6
211865680,6.7
211868060,3.1
211869710,7.1
211870240,197.9
211873760,38.1
211877690,152.8
211880080,43.8
211881920,3.4
211882460,2.6
211883870,61.9
211884140,25.0
211891740,254.1
211891950,16.0
211900010,129.9
211910000,96.5
211911001,8.2
211923000,27.6
211927000,197.6
212008000,6.9
212018000,1011.2
212112000,338.6
212123000,236.8
212163000,151.0
212165000,194.3
212198000,6.1
212209000,297.4
212255000,158.0
212335000,86.3
212357000,246.9
212359000,164.8
212360000,266.5
