MMSI,Name,ship_type,IMO,n_suspicious_points,avg_crit,max_crit,min_sog,avg_sog,first_seen,last_seen,duration_minutes,date_utc
261017040,COPA VERDE,Sailing,,10,0.9350899,0.9669392,3.4,3.6799999999999997,2022-09-26 09:47:15+02:00,2022-09-26 10:04:43+02:00,17.466666666666665,2022-09-26
351149000,OCEAN VANTAGE,Cargo,8405440,3261,0.96162957,0.96162957,0.1,0.19334559950935296,2022-09-26 02:16:27+02:00,2022-09-26 14:41:53+02:00,745.4333333333333,2022-09-26
219016873,ANHOLT WIND,HSC,9657557,473,0.77025044,0.9608078,0.1,2.2095137420718816,2022-09-26 07:56:57+02:00,2022-09-26 09:57:17+02:00,120.33333333333333,2022-09-26
211805190,SEESTERN,Sailing,,2,0.8572687,0.95156425,2.6,3.25,2022-09-27 00:43:08+02:00,2022-09-27 01:34:37+02:00,51.483333333333334,2022-09-26
211130000,ARKONA,Law enforcement,9285811,818,0.68189096,0.94971085,1.5,2.5061124694376526,2022-09-26 02:27:14+02:00,2022-09-26 16:28:45+02:00,841.5166666666667,2022-09-26
219012959,EGESUND,Undefined,9059248,236,0.75803334,0.9397602,1.8,2.5190677966101696,2022-09-26 04:58:15+02:00,2022-09-26 10:37:18+02:00,339.05,2022-09-26
211156800,BUGSIER 30,Tug,9416563,5641,0.93899655,0.9389965,0.1,0.21049459315724164,2022-09-26 02:07:27+02:00,2022-09-27 01:59:47+02:00,1432.3333333333333,2022-09-26
211219990,SCHARHOERN,Anti-pollution,7349455,466,0.8890501,0.9389965,0.8,1.0628755364806868,2022-09-26 12:09:38+02:00,2022-09-26 13:30:29+02:00,80.85,2022-09-26
219448000,GUARD VESSEL ARRIVER,Other,9669005,5067,0.86389184,0.9389965,0.2,1.6460035523978684,2022-09-26 08:32:23+02:00,2022-09-26 19:02:21+02:00,629.9666666666667,2022-09-26
244643000,GERE R,Dredging,9808869,438,0.9389965,0.9389965,0.1,0.13401826484018264,2022-09-26 02:26:29+02:00,2022-09-27 01:59:56+02:00,1413.45,2022-09-26
218601000,ELISABETH M. BORGESE,Other,8521438,517,0.61924183,0.9368072,0.1,2.388007736943907,2022-09-26 09:00:16+02:00,2022-09-26 12:17:39+02:00,197.38333333333333,2022-09-26
211126670,DAMEROW,Law enforcement,,12,0.88847977,0.92159814,2.8,3.341666666666667,2022-09-26 15:27:38+02:00,2022-09-26 15:29:41+02:00,2.05,2022-09-26
253134000,ISAAC NEWTON,Undefined,9707297,183,0.9137766,0.9137766,0.1,0.6759562841530055,2022-09-26 02:00:58+02:00,2022-09-26 20:10:19+02:00,1089.35,2022-09-26
211725850,VIRGIN,Sailing,,1,0.90584505,0.90584505,3.6,3.6,2022-09-26 11:24:57+02:00,2022-09-26 11:24:57+02:00,0.0,2022-09-26
219017204,BOLDER,HSC,9656993,124,0.9000632,0.9000632,0.4,1.3556451612903226,2022-09-26 08:14:32+02:00,2022-09-26 08:23:14+02:00,8.7,2022-09-26
232019804,KOMMANDOR SUSAN,Towing,9177844,5380,0.89650863,0.8965086,0.1,0.13011152416356878,2022-09-26 03:37:43+02:00,2022-09-27 01:59:53+02:00,1342.1666666666667,2022-09-26
211269660,WINDCAT 28,HSC,,31,0.7348231,0.8903685,0.9,3.019354838709677,2022-09-26 12:20:27+02:00,2022-09-26 12:38:02+02:00,17.583333333333332,2022-09-26
235108697,ZOE SCHULTE,Tanker,9675078,20,0.8899785,0.88997847,2.5,3.005,2022-09-26 08:15:06+02:00,2022-09-26 08:18:30+02:00,3.4,2022-09-26
211806530,GEO STRALSUND,Port tender,,279,0.8850014,0.8850014,0.9,3.011111111111111,2022-09-26 09:54:12+02:00,2022-09-26 11:05:19+02:00,71.11666666666666,2022-09-26
244050240,VOX AMALIA,Dredging,9768588,3623,0.8850014,0.8850014,0.1,1.8273254209218879,2022-09-26 02:47:49+02:00,2022-09-27 01:29:00+02:00,1361.1833333333334,2022-09-26
636017466,RMS WANHEIM,Cargo,8920268,62,0.8845508,0.8845508,0.1,1.1838709677419357,2022-09-26 20:41:36+02:00,2022-09-27 01:30:37+02:00,289.01666666666665,2022-09-26
219009338,WIND SUPPORTER,Passenger,,77,0.87756884,0.87756884,0.3,2.157142857142857,2022-09-26 08:06:48+02:00,2022-09-26 08:12:24+02:00,5.6,2022-09-26
249803000,NIKE,Tanker,9431032,568,0.874423,0.874423,0.4,1.858098591549296,2022-09-26 23:03:54+02:00,2022-09-27 00:38:07+02:00,94.21666666666667,2022-09-26
246376000,DUTCH PEARL,Tug,9547881,397,0.87332076,0.87332076,0.1,0.1783375314861461,2022-09-26 02:06:54+02:00,2022-09-27 01:57:56+02:00,1431.0333333333333,2022-09-26
261021560,FREYR,Sailing,,61,0.6659538,0.8659959,2.7,3.637704918032787,2022-09-26 02:58:05+02:00,2022-09-26 08:48:05+02:00,350.0,2022-09-26
219020398,SKOVEN,Other,8621408,593,0.85669255,0.85669255,0.1,0.6296795952782461,2022-09-26 04:45:43+02:00,2022-09-27 01:57:26+02:00,1271.7166666666667,2022-09-26
232042761,TI A FI,Sailing,,4,0.82720566,0.8528887,2.2,3.425,2022-09-26 11:42:15+02:00,2022-09-26 12:04:14+02:00,21.983333333333334,2022-09-26
211651920,HAITHABU,Undefined,,344,0.6605453,0.8523884,0.5,1.58953488372093,2022-09-26 10:07:11+02:00,2022-09-26 16:46:47+02:00,399.6,2022-09-26
261017960,ORKA SOPOT,Undefined,,7,0.7376302,0.835374,3.6,3.757142857142857,2022-09-26 02:02:25+02:00,2022-09-26 02:26:55+02:00,24.5,2022-09-26
261287000,ROZTOCZE,Sailing,,76,0.60670227,0.835374,2.7,3.598684210526316,2022-09-26 06:20:10+02:00,2022-09-26 09:30:39+02:00,190.48333333333332,2022-09-26
219015338,,Undefined,,1,0.822282,0.822282,2.7,2.7,2022-09-26 06:48:59+02:00,2022-09-26 06:48:59+02:00,0.0,2022-09-26
220046000,FN204 DANZIG,Fishing,,2346,0.69023937,0.8161161,0.2,2.400426257459505,2022-09-26 03:52:33+02:00,2022-09-26 16:28:03+02:00,755.5,2022-09-26
220099000,RS 151 EJCA,Fishing,,1074,0.6366589,0.8161161,2.3,2.963128491620112,2022-09-26 09:38:41+02:00,2022-09-26 15:49:40+02:00,370.98333333333335,2022-09-26
211210150,GERMAN WARSHIP F219,Military,,32,0.7728141,0.81300306,2.9,3.653125,2022-09-26 21:08:09+02:00,2022-09-26 22:00:40+02:00,52.516666666666666,2022-09-26
219000176,MHV 912,Military,,9,0.80628955,0.80628955,2.7,3.288888888888889,2022-09-26 20:45:30+02:00,2022-09-26 20:46:05+02:00,0.5833333333333334,2022-09-26
219016747,TRAVELLER,HSC,9634139,91,0.8060846,0.80608463,0.1,1.0934065934065933,2022-09-26 08:16:57+02:00,2022-09-26 08:30:43+02:00,13.766666666666667,2022-09-26
211296660,RASTABAN,Sailing,,1,0.80521375,0.80521375,2.6,2.6,2022-09-26 11:57:01+02:00,2022-09-26 11:57:01+02:00,0.0,2022-09-26
636013274,NS LAGUNA,Tanker,9339325,101,0.79413015,0.79413015,2.5,3.2554455445544557,2022-09-26 20:41:09+02:00,2022-09-26 20:57:49+02:00,16.666666666666668,2022-09-26
258373000,CHRISTIAN RADICH,Cargo,5071729,46,0.7936974,0.7936975,3.8,3.893478260869565,2022-09-26 05:27:39+02:00,2022-09-26 05:49:41+02:00,22.033333333333335,2022-09-26
219018682,ELEPHANTEN,Other,,1,0.78679174,0.78679174,3.3,3.3,2022-09-26 02:04:39+02:00,2022-09-26 02:04:39+02:00,0.0,2022-09-26
211303460,SEEADLER,Sailing,,8,0.7756863,0.7837591,2.8,3.3625,2022-09-26 16:45:21+02:00,2022-09-26 22:35:21+02:00,350.0,2022-09-26
266143000,ALMY VG74,Fishing,,112,0.72272193,0.7810261,1.4,2.3857142857142857,2022-09-26 09:35:56+02:00,2022-09-26 10:04:25+02:00,28.483333333333334,2022-09-26
211213640,MITTELGRUND,Military,,132,0.7388105,0.77612454,0.1,0.6439393939393939,2022-09-26 07:58:29+02:00,2022-09-26 13:10:02+02:00,311.55,2022-09-26
218176000,MAIKE,Cargo,8905115,385,0.76345193,0.77612454,1.0,2.444935064935065,2022-09-26 09:14:31+02:00,2022-09-26 12:28:12+02:00,193.68333333333334,2022-09-26
220024000,RI158 LYNGVIG,Fishing,,882,0.74267906,0.7654968,0.5,2.1980725623582766,2022-09-26 06:25:23+02:00,2022-09-26 07:29:57+02:00,64.56666666666666,2022-09-26
211188000,DEUTSCHLAND,Passenger,9151541,456,0.76216984,0.76216984,0.1,1.3006578947368421,2022-09-26 03:40:03+02:00,2022-09-27 01:55:00+02:00,1334.95,2022-09-26
211190000,SCHLESWIG-HOLSTEIN,Passenger,9151539,459,0.76216984,0.76216984,0.1,1.484967320261438,2022-09-26 02:22:10+02:00,2022-09-27 00:33:40+02:00,1331.5,2022-09-26
211757540,KRONPRINS FREDERIK,Passenger,7803205,319,0.74812764,0.76216984,0.1,1.5507836990595611,2022-09-26 08:39:37+02:00,2022-09-26 20:31:03+02:00,711.4333333333333,2022-09-26
219000429,PRINS RICHARD,Passenger,9144419,355,0.76216984,0.76216984,0.1,1.2385915492957746,2022-09-26 03:02:03+02:00,2022-09-27 01:14:38+02:00,1332.5833333333333,2022-09-26
218627000,VERA RAMBOW,Cargo,9432220,191,0.7603047,0.7603047,0.1,0.4397905759162304,2022-09-26 11:56:49+02:00,2022-09-26 22:45:10+02:00,648.35,2022-09-26
244515000,GALE,Tanker,9876335,147,0.7603047,0.7603047,0.1,0.879591836734694,2022-09-26 03:56:41+02:00,2022-09-26 11:19:35+02:00,442.9,2022-09-26
219030406,SANDBORN,Dredging,9965667,11,0.75115925,0.75115925,1.2,2.5545454545454547,2022-09-26 13:46:11+02:00,2022-09-26 13:46:54+02:00,0.7166666666666667,2022-09-26
219006514,MESTER,Sailing,,2,0.74703866,0.74703866,0.6,0.6,2022-09-26 11:40:19+02:00,2022-09-26 11:40:49+02:00,0.5,2022-09-26
503133230,NORDIC DANCER,Sailing,,3,0.7446124,0.7446124,2.1,2.5666666666666664,2022-09-26 14:15:27+02:00,2022-09-26 14:18:01+02:00,2.566666666666667,2022-09-26
219003141,ORO,Passenger,9287613,562,0.7388487,0.7388487,0.1,0.8601423487544484,2022-09-26 02:03:31+02:00,2022-09-27 01:58:51+02:00,1435.3333333333333,2022-09-26
219013226,HAABET,Passenger,,2,0.7388487,0.7388487,0.4,0.65,2022-09-26 14:18:44+02:00,2022-09-26 16:13:21+02:00,114.61666666666666,2022-09-26
219021060,ON TOP,Pleasure,,110,0.7388487,0.7388487,0.1,0.10454545454545454,2022-09-26 03:43:50+02:00,2022-09-27 01:21:06+02:00,1297.2666666666667,2022-09-26
266166000,VG45 WESTLAND,Fishing,,332,0.6372499,0.7249649,1.3,2.5189759036144577,2022-09-26 07:43:29+02:00,2022-09-26 08:50:09+02:00,66.66666666666667,2022-09-26
211229240,RUBIN,Pleasure,,3,0.72480154,0.72480154,1.9,2.5666666666666664,2022-09-26 12:52:34+02:00,2022-09-26 12:54:05+02:00,1.5166666666666666,2022-09-26
261039360,PLANETA I,Other,9851878,357,0.6867833,0.7164418,0.5,2.2549019607843137,2022-09-26 12:36:28+02:00,2022-09-27 01:38:24+02:00,781.9333333333333,2022-09-26
265588470,KLINTSKAR FG70,Fishing,,141,0.63434786,0.70993984,1.2,3.342553191489362,2022-09-26 06:33:29+02:00,2022-09-26 07:41:30+02:00,68.01666666666667,2022-09-26
211595270,ROCKY,Sailing,,5,0.7090259,0.7090259,0.5,1.8199999999999998,2022-09-26 15:07:13+02:00,2022-09-26 15:09:12+02:00,1.9833333333333334,2022-09-26
219029699,SAR BIL THORUPSTRAND,SAR,,10,0.7046771,0.7046771,0.1,1.77,2022-09-26 10:45:54+02:00,2022-09-26 10:48:15+02:00,2.35,2022-09-26
370789000,,Undefined,,2,0.7007864,0.7007864,3.3,3.5999999999999996,2022-09-26 02:01:27+02:00,2022-09-26 02:01:57+02:00,0.5,2022-09-26
219028973,PRODUCER,HSC,,970,0.6840249,0.6840249,0.1,1.1023711340206186,2022-09-26 08:19:32+02:00,2022-09-26 14:35:49+02:00,376.28333333333336,2022-09-26
219447000,ATTENDER,Other,9668996,321,0.6840249,0.6840249,0.1,1.4806853582554518,2022-09-26 08:40:28+02:00,2022-09-26 09:09:47+02:00,29.316666666666666,2022-09-26
219025221,VALDEMAR,Tug,8108121,500,0.5712783,0.6771517,2.5,2.8008,2022-09-26 03:37:41+02:00,2022-09-26 05:09:21+02:00,91.66666666666667,2022-09-26
219002358,KATTEGAT,Passenger,,103,0.6769409,0.6769409,0.1,0.1,2022-09-26 04:09:39+02:00,2022-09-27 01:48:40+02:00,1299.0166666666667,2022-09-26
219016832,AGERSOE III,Undefined,9649677,1884,0.6769409,0.6769409,0.1,0.7418259023354564,2022-09-26 02:01:40+02:00,2022-09-27 01:59:30+02:00,1437.8333333333333,2022-09-26
261080310,PASSIE,Pleasure,,1,0.6711893,0.6711893,2.9,2.9,2022-09-27 01:01:54+02:00,2022-09-27 01:01:54+02:00,0.0,2022-09-26
219022300,ODIN,Tug,8703995,136,0.6711224,0.6711224,0.6,2.5808823529411766,2022-09-26 13:00:05+02:00,2022-09-26 13:08:15+02:00,8.166666666666666,2022-09-26
219026706,DANPILOT QUEBEC,Pilot,9878462,279,0.62738174,0.6711224,0.1,1.7670250896057347,2022-09-26 02:55:22+02:00,2022-09-26 20:10:17+02:00,1034.9166666666667,2022-09-26
