mmsi,reason,span_km,ping_count,name,type
9005049,base_station,28.291,55,Onwashenzhen,other
9107448,base_station,2.317,129,Onwa7448,other
9109416,base_station,31.577,187,Onwa9416,other
9112856,base_station,18.524,195,MMSI 9112856,other
9117243,stationary,0.008,80,Onwa17243,other
9119386,stationary,0.011,20,Onwa19386,other
9125609,base_station,57.113,6,Onwa25609,other
9127116,base_station,53.345,27,Onwa27116,other
9127986,base_station,71.155,471,Onwa27986,pleasure
9128328,base_station,56.013,13,Onwa28328,other
9129299,stationary,0.001,2,Onwa29299,other
9129369,stationary,0.001,2,MMSI 9129369,other
9129386,stationary,0.001,2,Onwa29386,other
9129479,base_station,69.44,78,Onwa29479,other
9129484,base_station,64.894,8,Onwa29484,other
9129506,base_station,111.989,81,Onwa29506,other
9129512,base_station,13.473,173,Onwa29512,other
9130259,stationary,0.075,4,Onwa30259,other
9130389,base_station,1.015,3,Onwa30389,other
9130620,base_station,1.333,8,MMSI 9130620,other
9130695,base_station,129.396,85,Onwa30695,other
9130700,base_station,325.293,149,Onwa30700,other
9130730,base_station,42.133,151,MMSI 9130730,other
9130753,base_station,231.496,44,MMSI 9130753,other
9130789,stationary,0.001,2,Onwa30789,other
9130986,stationary,0.13,2,MMSI 9130986,other
9131532,stationary,0.002,2,MMSI 9131532,other
9131535,base_station,7.759,16,Onwa31535,other
9131690,stationary,0.003,22,2210900172B,other
9132056,base_station,2.675,8,Onwa32056,other
9132628,stationary,0.004,2,Onwa32628,other
9132759,base_station,27.834,84,Onwa 1,other
9133094,base_station,252.112,8,Onwa33094,other
9133117,stationary,0.002,2,Onwa33117,pleasure
9133759,stationary,0.011,12,Onwa33759,other
9133972,base_station,22.056,27,Onwa33972,other
9134186,base_station,49.13,157,Onwa34186,other
9134196,stationary,0.0,2,Onwa34196,pleasure
9134212,stationary,0.003,2,Onwa34212,pleasure
9134220,stationary,0.0,2,Onwa34220,pleasure
9134229,stationary,0.002,6,Onwa34229,pleasure
9134560,base_station,40.402,14,Onwa34560 Thode,other
9136322,stationary,0.007,10,Onwa36322,pleasure
9137939,base_station,135.249,104,MMSI 9137939,other
9139278,stationary,0.001,2,Onwa39278,pleasure
9140847,stationary,0.015,4,Onwa40847,other
9141477,stationary,0.012,2,Onwa41477,pleasure
9143846,stationary,0.004,2,Onwa43846,other
9225695,base_station,32.079,6,Mv Argus,other
9700098,base_station,45.183,143,Keep Clear 0.25 N 10,fishing
11265529,base_station,529.315,1083,MMSI 11265529,other
11505840,base_station,0.831,2,MMSI 11505840,other
13060554,base_station,114.309,62,Net Boj Gg237 Marika,other
13070585,base_station,39.951,62,Keep Clear 2Nm   -00,other
14090841,stationary,0.111,2,MMSI 14090841,other
16085558,base_station,62.78,52,MMSI 16085558,other
16286976,stationary,0.007,2,MMSI 16286976,other
16724282,stationary,0.004,2,MMSI 16724282,other
19149114,stationary,0.024,2,MMSI 19149114,other
21135600,base_station,88.556,150,Hansekogge,other
21801711,stationary,0.033,16,MMSI 21801711,other
24922400,stationary,0.007,2,Cgas Triger,tanker
26550330,base_station,15.76,7,Swedish Warship,other
26570873,stationary,0.006,2,Net-Buoy Gg34    -00,other
33182800,base_station,0.612,8,Polar Nattoralik Mob,other
42456723,base_station,28.017,31,MMSI 42456723,other
76974222,base_station,297.537,24,Sy Wookiee,pleasure
76989782,base_station,50.352,16,Hope,other
77069722,base_station,13.511,5,Crazyboats Solo Sail,other
77679002,base_station,1.834,3,Savfisk,other
77679122,base_station,18.606,8,54Nord,pleasure
91800006,stationary,0.001,2,Onwa33Nt 60%,fishing
91800007,stationary,0.05,2,Onwa33Nt 35%,other
91800067,base_station,5.341,6,L 237 East End,fishing
91800068,base_station,2.682,5,L 237 West End 06,fishing
91800072,base_station,3.797,7,L 237 West End,other
91800113,base_station,5.542,6,L237 East End 07,fishing
91800128,base_station,2.615,4,L237 East End 07,fishing
91800198,stationary,0.007,2,Onwa33Nt 82%,fishing
