incident_id,vessel_mmsi,vessel_name,vessel_type,signal_type,gap_start_utc,gap_end_utc,gap_hours,last_seen_lat,last_seen_lon,reappear_lat,reappear_lon,gap_midpoint_lat,gap_midpoint_lon
INC-2024-11-18,230617000,FINNBREEZE,Cargo,ais_blackout,2024-11-19T07:46:16+01:00,2024-11-20T07:21:32+01:00,23.59,55.59891,15.00057,55.4855,15.00084,55.54221,15.00071
INC-2024-11-18,230643000,FINNPULP,Cargo,ais_blackout,2024-11-17T08:19:08+01:00,2024-11-18T08:43:30+01:00,24.41,55.55651,15.00086,55.48498,15.00064,55.52075,15.00075
INC-2024-11-18,230643000,FINNPULP,Cargo,ais_blackout,2024-11-18T10:56:36+01:00,2024-11-20T06:04:42+01:00,43.13,55.8488,16.09783,55.89276,16.03073,55.87078,16.06428
INC-2024-11-18,230707000,HALTI,Tanker,ais_dark_approach,,,,55.50957,15.00009,55.50957,15.00009,55.50957,15.00009
INC-2024-11-18,230916000,TALI,Cargo,ais_dark_approach,,,,55.87724,15.9043,55.87724,15.9043,55.87724,15.9043
INC-2024-11-18,230981000,FINNSTAR,Passenger,ais_blackout,2024-11-15T13:04:04+01:00,2024-11-17T11:05:49+01:00,46.03,55.94088,16.35798,55.88474,16.04005,55.91281,16.19902
INC-2024-11-18,230981000,FINNSTAR,Passenger,ais_blackout,2024-11-17T12:58:50+01:00,2024-11-18T10:49:52+01:00,21.85,55.54775,15.00056,55.51359,15.00013,55.53067,15.00035
INC-2024-11-18,230981000,FINNSTAR,Passenger,ais_blackout,2024-11-18T12:47:16+01:00,2024-11-20T09:42:11+01:00,44.92,55.84884,16.04123,55.83234,15.89574,55.84059,15.96849
INC-2024-11-18,230982000,FINNMAID,Passenger,ais_blackout,2024-11-16T11:18:18+01:00,2024-11-17T11:21:12+01:00,24.05,55.56669,15.00069,55.52275,15.00066,55.54472,15.00068
INC-2024-11-18,230982000,FINNMAID,Passenger,ais_blackout,2024-11-17T13:06:23+01:00,2024-11-19T09:35:47+01:00,44.49,55.82016,15.97301,55.8878,15.9399,55.85398,15.95646
INC-2024-11-18,230987000,FINNLADY,Passenger,ais_blackout,2024-11-16T13:00:37+01:00,2024-11-18T09:11:00+01:00,44.17,55.77564,16.01013,55.89421,15.9571,55.83492,15.98361
INC-2024-11-18,230987000,FINNLADY,Passenger,ais_blackout,2024-11-18T11:10:00+01:00,2024-11-19T11:16:28+01:00,24.11,55.54273,15.00039,55.49494,15.00078,55.51884,15.00058
